PLAYER NAME,Country,College
Keith Mitchell,USA,"University of Georgia  (2014, Business and Real Estate) "
Kelly Kraft,USA,Southern Methodist University  (2011) 
Ken Duke,USA,"Henderson State University  (1992, Sports Management) "
Kenny Perry,USA,Western Kentucky University 
Kent Jones,USA,"University of New Mexico  (1990, Business Administration, 1991 Masters, Business Administration) "
Kevin Chappell,USA,UCLA 
Kevin Kisner,USA,"University of Georgia  (2006, Business Management) "
Kevin Na,USA,
Kevin Stadler,USA,University of Southern California  (2002) 
Kevin Streelman,USA,"Duke University  (2001, Sociology) "
Kevin Tway,USA,Oklahoma State University 
Kiradech Aphibarnrat,THA,
Kramer Hickok,USA,"University of Texas  (2015, Geography) "
Kris Blanks,USA,
Kyle Jones,USA,"Baylor University  (2015, Corporate Communications) "
Kyle Reifers,USA,"Wake Forest University  (2006, Religion) "
Kyle Stanley,USA,Clemson University 
Kyle Thompson,USA,"University of South Carolina  (2001, Marketing/Management) "
Kyoung-Hoon Lee,KOR,Korea National Sport University  (2014) 
Lanto Griffin,USA,"Virginia Commonwealth University  (2010, Marketing) "
Larry Mize,USA,Georgia Tech 
Lee Janzen,USA,"Florida Southern College  (1986, Marketing) "
Lee McCoy,USA,"University of Georgia  (Housing, 2016) "
Lee Westwood,ENG,
Len Mattiace,USA,"Wake Forest University  (1990, Sociology) "
Louis Oosthuizen,RSA,
Lucas Bjerregaard,DEN,
Lucas Glover,USA,"Clemson University  (2005, Communication Studies) "
Lucas Lee,BRA,"UCLA  (2008, History) "
Luke Donald,ENG,"Northwestern University  (2001, Art Theory and Practice) "
Luke Guthrie,USA,"University of Illinois 2012, Business Management"
Luke List,USA,"Vanderbilt University  (2007, Human and Organizational Development) "
Mackenzie Hughes,CAN,"Kent State University  (2012, Business Management) "
Marc Leishman,AUS,
Marc Turnesa,USA,"North Carolina State University  (2000, Communications) "
Marco Dawson,USA,"Florida Southern College  (1985, Marketing) "
Mark Anderson,,
Mark Hensby,AUS,
Mark Hubbard,USA,"San Jose State University  (2011, Business Management) "
Mark O'Meara,USA,"Long Beach State University  (1980, Marketing) "
Mark Wilson,USA,"University of North Carolina  (1997, Mathematics) "
Martin Flores,USA,"University of Oklahoma  (2004, Marketing) "
Martin Kaymer,GER,
Martin Laird,SCO,"Colorado State University  (2004, Marketing) "
Martin Piller,USA,"Texas A&M University  (2008, Agricultural Development) "
Martin Trainer,USA,"University of Southern California  (2013, Business Administration) "
Matt Atkins,USA,"University of South Carolina-Aiken  (2013, Business Management) "
Matt Bettencourt,USA,"Modesto Junior College  (1997, Business Administration) "
Matt Every,USA,"University of Florida  (2006, Business) "
Matt Jones,AUS,Arizona State University  (2001) 
